song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
Always Waiting,Michael Kiwanuka,0.43,0.405,10,-10.604,0,0.025,0.553,1.67e-05,0.0883,0.225,92.387,audio_features,5pxUPHdS1ItmLjU25AbYLg,spotify:track:5pxUPHdS1ItmLjU25AbYLg,https://api.spotify.com/v1/tracks/5pxUPHdS1ItmLjU25AbYLg,https://api.spotify.com/v1/audio-analysis/5pxUPHdS1ItmLjU25AbYLg,270178,4,2
AM Theme,Other Lives,0.628,0.392,5,-11.613,1,0.026,0.406,0.000275,0.112,0.386,110.253,audio_features,2j2A7RwqpXtff83skQLzJg,spotify:track:2j2A7RwqpXtff83skQLzJg,https://api.spotify.com/v1/tracks/2j2A7RwqpXtff83skQLzJg,https://api.spotify.com/v1/audio-analysis/2j2A7RwqpXtff83skQLzJg,154000,3,2
Amsterdam,Coldplay,0.269,0.176,3,-10.463,1,0.0296,0.836,0.0343,0.122,0.105,78.861,audio_features,2uQ4px5SPONsgcUpulywIQ,spotify:track:2uQ4px5SPONsgcUpulywIQ,https://api.spotify.com/v1/tracks/2uQ4px5SPONsgcUpulywIQ,https://api.spotify.com/v1/audio-analysis/2uQ4px5SPONsgcUpulywIQ,319360,4,2
And I Love Her - Remastered 2009,The Beatles,0.767,0.331,1,-10.777,0,0.0337,0.64,0.0,0.0681,0.636,113.312,audio_features,65vdMBskhx3akkG9vQlSH1,spotify:track:65vdMBskhx3akkG9vQlSH1,https://api.spotify.com/v1/tracks/65vdMBskhx3akkG9vQlSH1,https://api.spotify.com/v1/audio-analysis/65vdMBskhx3akkG9vQlSH1,149693,4,2
Angel of Small Death and the Codeine Scene - Live From Spotify London,Hozier,0.594,0.2,6,-10.472,0,0.0622,0.928,0.0,0.673,0.415,92.821,audio_features,59o2b2BGgziNyPx9f3xnhA,spotify:track:59o2b2BGgziNyPx9f3xnhA,https://api.spotify.com/v1/tracks/59o2b2BGgziNyPx9f3xnhA,https://api.spotify.com/v1/audio-analysis/59o2b2BGgziNyPx9f3xnhA,210920,4,2
Angela,The Lumineers,0.669,0.56,4,-8.229,1,0.0309,0.652,0.000231,0.104,0.297,130.342,audio_features,0wO3tPeULKGfrArC50Apea,spotify:track:0wO3tPeULKGfrArC50Apea,https://api.spotify.com/v1/tracks/0wO3tPeULKGfrArC50Apea,https://api.spotify.com/v1/audio-analysis/0wO3tPeULKGfrArC50Apea,201787,4,2
Angels We Have Heard On High,Sufjan Stevens,0.445,0.168,7,-14.857,1,0.0392,0.858,0.307,0.36,0.487,99.231,audio_features,4IQcYP8p7Ts33ajSPkWktw,spotify:track:4IQcYP8p7Ts33ajSPkWktw,https://api.spotify.com/v1/tracks/4IQcYP8p7Ts33ajSPkWktw,https://api.spotify.com/v1/audio-analysis/4IQcYP8p7Ts33ajSPkWktw,52320,4,2
Angels We Have Heard On High,Sufjan Stevens,0.599,0.223,0,-13.441,1,0.0313,0.953,0.0014,0.183,0.402,123.959,audio_features,27xdZ9J1uQPIOWR2yNe8Ey,spotify:track:27xdZ9J1uQPIOWR2yNe8Ey,https://api.spotify.com/v1/tracks/27xdZ9J1uQPIOWR2yNe8Ey,https://api.spotify.com/v1/audio-analysis/27xdZ9J1uQPIOWR2yNe8Ey,243947,4,2
Annie,Mac DeMarco,0.407,0.257,5,-18.183,1,0.0302,0.518,0.241,0.968,0.213,84.514,audio_features,4YOc7XAKizsjb2I6Io5P8j,spotify:track:4YOc7XAKizsjb2I6Io5P8j,https://api.spotify.com/v1/tracks/4YOc7XAKizsjb2I6Io5P8j,https://api.spotify.com/v1/audio-analysis/4YOc7XAKizsjb2I6Io5P8j,218802,4,2
"Another Brick in the Wall, Pt. 3",Pink Floyd,0.653,0.472,2,-14.797,1,0.0353,0.0554,6.45e-05,0.397,0.448,102.558,audio_features,5A7eooPKJHtr0UJmatjH4a,spotify:track:5A7eooPKJHtr0UJmatjH4a,https://api.spotify.com/v1/tracks/5A7eooPKJHtr0UJmatjH4a,https://api.spotify.com/v1/audio-analysis/5A7eooPKJHtr0UJmatjH4a,74411,4,2
